"quad","year","trackID","area","x","y","allEdge","totCover","age"
"FH14",27,"147",0.250488518417357,33.44116211,97.77832031,1,926.944797382785,5
"FH14",27,"15",3.96539545674552,16.6157595044371,74.0563370758696,0,926.944797382785,5
"FH14",27,"151",5.5335008212192,46.9365502879474,98.921773504079,0,926.944797382785,4
"FH14",27,"152",0.500977036834715,66.387939455,76.98059082,0,926.944797382785,4
"FH14",27,"153",0.748410820030212,42.5234674018287,61.6780806435523,0,926.944797382785,3
"FH14",27,"155",0.500977036834717,6.35986328,16.049194335,0,926.944797382785,3
"FH14",27,"156",11.2513681717079,31.8400619578872,11.8834613773104,0,926.944797382785,3
"FH14",27,"160",0.250488518417358,27.47802734,6.51855469,0,926.944797382785,1
"FH14",27,"161",0.247433788139345,44.039916995,33.642578125,0,926.944797382785,1
"FH14",27,"162",0.250488523422241,39.837646485,37.71972656,0,926.944797382785,1
"FH14",27,"163",0.2474337831955,36.959838865,38.67797852,0,926.944797382785,1
"FH14",27,"164",0.250488523422244,47.900390625,40.94238281,0,926.944797382785,1
"FH14",27,"165",0.250488518417357,69.37866211,55.79833984,0,926.944797382785,1
"FH14",27,"166",0.250488518417357,72.68066406,81.09741211,0,926.944797382785,1
"FH14",27,"167",0.250488518417357,66.61987305,81.26220703,0,926.944797382785,1
"FH14",27,"168",0.250488518417357,76.94091797,92.43774414,0,926.944797382785,1
"FH14",27,"169",0.250488518417357,73.98071289,92.84057617,0,926.944797382785,1
"FH14",27,"17",19.3216650713668,2.56415113838857,69.8824833658217,1,926.944797382785,5
"FH14",27,"170",0.250488518417357,76.87988281,94.07958984,0,926.944797382785,1
"FH14",27,"171",0.247433778190614,84.14001465,94.07958984,0,926.944797382785,1
"FH14",27,"172",0.250488518417357,80.79833984,95.09887695,0,926.944797382785,1
"FH14",27,"173",0.250488518417365,81.14013672,96.58203125,1,926.944797382785,1
"FH14",27,"2",12.2291647080486,14.9454720458654,98.6482830214295,0,926.944797382785,5
"FH14",27,"20",0.494867566329955,20.9411620624676,61.5600586033593,0,926.944797382785,5
"FH14",27,"24",17.8541073118241,1.1403122512529,56.5533765455065,0,926.944797382785,5
"FH14",27,"26",39.0979755663529,11.2897140921703,52.8475811469358,0,926.944797382785,5
"FH14",27,"29",69.2929126999467,27.3871582931887,52.1491867341531,0,926.944797382785,5
"FH14",27,"35",75.8426101179099,10.019316346777,39.808148326132,0,926.944797382785,5
"FH14",27,"37",50.4438178576197,20.3595464195462,37.4015223297597,0,926.944797382785,5
"FH14",27,"40",36.1605904730914,5.11826464541644,25.467271421089,0,926.944797382785,5
"FH14",27,"41",17.0753078730017,26.972415456371,20.5089452295956,0,926.944797382785,5
"FH14",27,"42",45.5780805830116,29.9364184692884,25.5625322048723,0,926.944797382785,5
"FH14",27,"44",26.22290028844,43.8849121352423,24.6200164524115,0,926.944797382785,5
"FH14",27,"45",41.0364964558874,57.5409356208427,20.6890292739889,0,926.944797382785,5
"FH14",27,"47",11.4580752576866,51.8937906712312,31.775556388563,0,926.944797382785,5
"FH14",27,"48",31.7022608835963,71.7967141665939,64.1806832115739,0,926.944797382785,5
"FH14",27,"50",62.8634896351215,42.661739236167,91.9403789251481,0,926.944797382785,5
"FH14",27,"55",20.3849607497233,43.0100323002137,73.458784662664,0,926.944797382785,5
"FH14",27,"58",97.3994604299093,52.8070366948898,70.1242271902242,0,926.944797382785,5
"FH14",27,"59",44.9146525565087,65.1100412080816,67.4215649396829,0,926.944797382785,5
"FH14",27,"6",21.2130978886274,34.0504169963446,88.6639664988748,0,926.944797382785,5
"FH14",27,"61",24.9742742855518,57.3513769790699,84.9404188524936,0,926.944797382785,5
"FH14",27,"62",18.0883365907328,54.3166421599801,95.1454389494964,0,926.944797382785,5
"FH14",27,"7",15.6720294090003,27.4558866840595,96.2498265381824,0,926.944797382785,5
"FH14",27,"8",18.3247172280297,7.87813118713578,80.1114891748479,0,926.944797382785,5
"FH14",28,"0",14.4019856460289,4.19872447156459,95.245600347951,0,464.74640259111,6
"FH14",28,"107",11.2657688008395,15.28416343233,70.129830197451,0,464.74640259111,6
"FH14",28,"12",0.995844593215942,15.7529023670428,87.5457857287184,0,464.74640259111,6
"FH14",28,"131",8.24434983171893,57.5985012675275,52.7471570227196,0,464.74640259111,6
"FH14",28,"138",0.250488523422237,33.36181641,64.697265625,0,464.74640259111,6
"FH14",28,"151",0.259652734275814,46.98791504,98.779296875,1,464.74640259111,5
"FH14",28,"152",0.497922301612865,70.9867325426444,75.8131343014048,0,464.74640259111,5
"FH14",28,"153",5.00247856780508,37.5448640292417,60.3919326030524,0,464.74640259111,4
"FH14",28,"156",8.00426799944968,32.3432790037237,12.7188864416136,0,464.74640259111,4
"FH14",28,"162",0.238269567520142,41.55883789,36.01074219,0,464.74640259111,2
"FH14",28,"166",0.497922296607971,71.6086358371068,82.9183566647078,0,464.74640259111,2
"FH14",28,"167",5.80879378161458,66.1521014090558,80.1302405284958,0,464.74640259111,2
"FH14",28,"168",13.2392785403872,75.9336630361756,93.1197621841635,0,464.74640259111,2
"FH14",28,"17",0.510141252510082,1.12355854533651,74.3937966500966,1,464.74640259111,6
"FH14",28,"172",8.33796907868441,83.197885311638,93.8570747278636,0,464.74640259111,2
"FH14",28,"174",5.10515494454014,14.7086925152508,11.9871485344401,0,464.74640259111,1
"FH14",28,"175",6.78422283724758,34.3780393998248,2.56771877476531,1,464.74640259111,1
"FH14",28,"176",5.59740133734859,41.9596743489586,7.88828834449908,0,464.74640259111,1
"FH14",28,"177",5.13482204440137,53.0797541725616,1.14333943408753,1,464.74640259111,1
"FH14",28,"178",7.50749278484803,79.925115778,53.5654945876308,0,464.74640259111,1
"FH14",28,"179",0.247433783195497,36.65771484,55.239868165,0,464.74640259111,1
