"","quad","year","trackID","area.t1","area.t0","age","allEdge","distEdgeMin","Group","Grazing"
"75","q23",50,27,897.4564,1137.711,7,0,4.34758377075195,"lb1","No"
"76","q23",50,28,56.91028,57.33221,3,0,-1.27749633789062,"lb1","No"
"77","q23",50,29,4.102083,3.007841,1,0,4.32278823852539,"lb1","No"
"78","q23",51,27,1140.99008,897.4564,8,0,6.77306461334229,"lb1","No"
"79","q23",51,28,146.230407,56.91028,4,0,-0.160797119140625,"lb1","No"
"80","q23",51,29,24.095694,4.102083,2,1,3.07702779769897,"lb1","No"
"81","q23",51,30,56.24306,7.374501,1,0,1.71516418457031,"lb1","No"
"82","q23",51,33,3.86581,2.247504,1,0,16.3559894561768,"lb1","No"
"83","q23",52,27,1364.295,1140.99008,9,0,2.7049925327301,"lb1","No"
"84","q23",52,28,185.0866,146.230407,5,0,-0.147165685892105,"lb1","No"
"85","q23",52,29,36.77694,24.095694,3,1,-0.0985109061002731,"lb1","No"
"86","q23",52,30,58.64492,56.24306,2,0,0.0274276733398438,"lb1","No"
"87","q23",52,42,32.42845,9.836246,1,0,5.81759643554688,"lb1","No"
"88","q23",53,27,1099.89589,1364.295,10,0,4.23583602905273,"lb1","No"
"89","q23",53,28,157.74073,185.0866,6,0,-0.0231756698340178,"lb1","No"
"90","q23",53,30,54.37386,58.64492,3,0,-0.0793609619140625,"lb1","No"
"91","q23",53,42,14.67175,32.42845,2,0,-0.033172607421875,"lb1","No"
"92","q23",54,27,1271.52507,1099.89589,11,0,-0.184913635253906,"lb1","No"
"93","q23",54,28,193.49044,157.74073,7,0,0.133110046386719,"lb1","No"
"94","q23",54,30,93.337346,54.37386,4,0,-0.0829315185546875,"lb1","No"
"95","q23",54,42,47.14701,14.67175,3,1,-0.0288467407226562,"lb1","No"
"96","q23",55,27,1237.961,1271.52507,12,0,0.0811614990234375,"lb1","No"
"97","q23",55,28,152.8742,193.49044,8,0,-0.134068846702576,"lb1","No"
"98","q23",55,30,84.4017137,93.337346,5,0,-0.194061279296875,"lb1","No"
"99","q23",55,42,56.56297,47.14701,4,0,-0.047882080078125,"lb1","No"
"100","q23",56,27,1428.96474,1237.961,13,0,2.48208999633789,"lb1","No"
"101","q23",56,28,248.7595,152.8742,9,0,-0.0556564331054688,"lb1","No"
"102","q23",56,30,207.9452,84.4017137,6,0,1.41139984130859,"lb1","No"
"103","q23",56,42,92.78923,56.56297,5,0,1.39407348632812,"lb1","No"
"104","q23",57,27,1456.281,1428.96474,14,0,0.196128845214844,"lb1","No"
"105","q23",57,28,189.2114,248.7595,10,0,-0.479914635419846,"lb1","No"
"106","q23",57,30,286.1928,207.9452,7,0,0.0096435546875,"lb1","No"
"107","q23",58,27,1767.018,1456.281,15,0,-0.214731514453888,"lb1","No"
"108","q23",58,28,363.33,189.2114,11,0,-0.025821465998888,"lb1","No"
"109","q23",58,30,400.2052,286.1928,8,0,-0.21063232421875,"lb1","No"
"110","q23",59,27,1525.471,1767.018,16,0,0.1036376953125,"lb1","No"
"111","q23",59,30,469.3884,400.2052,9,0,-0.163291931152344,"lb1","No"
"112","q23",60,27,1616.60767,1525.471,17,0,-0.42742919921875,"lb1","No"
"113","q23",60,30,463.4653,469.3884,10,0,0.175140380859375,"lb1","No"
"114","q23",61,27,2048.229,1616.60767,18,0,0.254575669765472,"lb1","No"
"115","q23",61,28,640.153,349.4144,14,0,-1.21717882156372,"lb1","No"
"116","q23",61,30,708.3683,463.4653,11,0,0.00713348388671875,"lb1","No"
"117","q23",64,27,1763.073,1159.836,21,0,-0.4542236328125,"lb1","No"
"118","q23",64,28,573.3913,335.75753,17,0,-0.317703247070312,"lb1","No"
"119","q23",64,30,771.2746,1609.652,14,0,0.210006713867188,"lb1","No"
"120","q23",65,27,2055.925,1763.073,22,0,-1.08544051647186,"lb1","No"
"121","q23",65,28,601.9054,573.3913,18,0,0.642993032932281,"lb1","No"
"122","q23",65,30,599.0078,771.2746,15,0,-0.948486328125,"lb1","No"
"123","q23",66,27,2017.097,2055.925,23,0,-0.236711114645004,"lb1","No"
"124","q23",66,28,573.3008,601.9054,19,0,0.0729994252324104,"lb1","No"
"125","q23",66,30,661.2009,599.0078,16,0,-0.167640686035156,"lb1","No"
"126","q23",67,27,1979.454,2017.097,24,0,-0.394973754882812,"lb1","No"
"127","q23",67,28,542.118,573.3008,20,0,-0.767173767089844,"lb1","No"
"128","q23",67,30,520.0729,661.2009,17,0,0.0997695922851562,"lb1","No"
"129","q23",70,27,2350.004,2109.919,27,0,0.0320783443748951,"lb1","No"
"130","q23",70,28,538.3787,607.0753,23,0,-0.560783505439758,"lb1","No"
"131","q23",70,30,1284.1239,697.6589,20,0,0.00153350830078125,"lb1","No"
"132","q23",71,27,1437.4331,2350.004,28,0,-0.872688889503479,"lb1","No"
